energy_densityc2,pressurec2
1.076478e+11,1.703432e+08
1.101595e+11,1.752491e+08
1.127297e+11,1.802725e+08
1.153596e+11,1.854636e+08
1.180511e+11,1.907924e+08
1.208055e+11,1.962743e+08
1.236241e+11,2.019004e+08
1.265084e+11,2.076842e+08
1.294601e+11,2.136364e+08
1.324806e+11,2.197573e+08
1.355716e+11,2.260497e+08
1.387347e+11,2.324986e+08
1.419720e+11,2.391536e+08
1.452844e+11,2.459743e+08
1.486745e+11,2.529839e+08
1.521436e+11,2.602265e+08
1.556938e+11,2.676387e+08
1.593267e+11,2.752464e+08
1.630444e+11,2.830678e+08
1.668489e+11,2.911282e+08
1.707422e+11,2.994206e+08
1.747263e+11,3.079074e+08
1.788037e+11,3.166333e+08
1.829759e+11,3.256422e+08
1.872459e+11,3.348222e+08
1.916151e+11,3.443048e+08
1.960866e+11,3.540544e+08
2.006626e+11,3.640784e+08
2.053453e+11,3.743847e+08
2.101368e+11,3.849269e+08
2.150411e+11,3.957729e+08
2.200593e+11,4.069138e+08
2.251947e+11,4.184215e+08
2.304504e+11,4.301944e+08
2.358282e+11,4.423042e+08
2.413321e+11,4.546910e+08
2.469639e+11,4.674760e+08
2.527276e+11,4.805615e+08
2.586259e+11,4.940783e+08
2.646618e+11,5.078995e+08
2.708386e+11,5.221050e+08
2.771596e+11,5.367054e+08
2.836281e+11,5.517092e+08
2.902476e+11,5.671302e+08
2.970221e+11,5.828974e+08
3.039542e+11,5.991795e+08
3.110487e+11,6.158406e+08
3.183088e+11,6.329457e+08
3.257376e+11,6.505342e+08
3.333406e+11,6.685970e+08
3.411210e+11,6.871642e+08
3.490830e+11,7.062316e+08
3.572309e+11,7.257452e+08
3.655697e+11,7.458733e+08
3.741023e+11,7.664551e+08
3.828342e+11,7.876017e+08
3.917707e+11,8.093209e+08
4.009148e+11,8.316354e+08
4.102733e+11,8.545576e+08
4.198504e+11,8.600659e+08
4.296510e+11,8.705356e+08
4.396793e+11,8.803049e+08
4.499427e+11,8.903362e+08
4.604447e+11,8.996043e+08
4.711918e+11,9.089612e+08
4.821887e+11,9.184433e+08
5.016340e+11,9.091249e+08
6.690822e+11,1.051733e+09
8.368883e+11,1.176517e+09
1.004338e+12,1.283473e+09
1.172127e+12,1.390427e+09
1.339573e+12,1.515210e+09
1.507380e+12,1.639991e+09
1.674829e+12,1.782602e+09
2.513462e+12,2.442155e+09
3.352116e+12,3.137374e+09
4.191107e+12,3.850419e+09
5.030107e+12,4.563455e+09
5.869453e+12,5.276488e+09
6.708801e+12,5.989533e+09
7.548141e+12,6.666911e+09
8.387501e+12,7.344312e+09
9.227197e+12,7.986048e+09
1.006689e+13,8.627786e+09
1.090624e+13,9.251677e+09
1.174595e+13,9.839931e+09
1.258565e+13,1.044602e+10
1.342568e+13,1.101644e+10
1.426539e+13,1.156908e+10
1.510508e+13,1.213952e+10
1.594513e+13,1.269213e+10
1.678485e+13,1.322689e+10
2.014467e+13,1.547294e+10
2.350491e+13,1.800423e+10
2.686583e+13,2.099899e+10
3.022668e+13,2.474250e+10
3.358837e+13,2.948417e+10
3.695025e+13,3.542021e+10
4.031298e+13,4.280026e+10
4.367636e+13,5.185582e+10
4.704040e+13,6.271184e+10
5.040522e+13,7.558219e+10
5.377097e+13,9.062745e+10
5.713794e+13,1.080257e+11
6.050585e+13,1.279196e+11
6.387519e+13,1.505579e+11
6.724553e+13,1.758350e+11
7.061748e+13,2.039825e+11
7.399066e+13,2.351067e+11
7.736526e+13,2.692622e+11
8.074133e+13,3.065190e+11
8.411904e+13,3.469109e+11
8.749864e+13,3.904074e+11
9.088002e+13,4.368447e+11
9.426262e+13,4.810535e+11
9.589170e+13,5.105630e+11
9.758321e+13,5.387694e+11
9.927514e+13,5.679601e+11
1.009678e+14,5.981437e+11
1.026606e+14,6.293394e+11
1.043542e+14,6.615577e+11
1.060484e+14,6.948025e+11
1.077429e+14,7.290900e+11
1.094381e+14,7.644314e+11
1.111338e+14,8.008387e+11
1.128300e+14,8.383167e+11
1.145269e+14,8.768860e+11
1.162243e+14,9.165455e+11
1.179223e+14,9.573172e+11
1.196207e+14,9.992088e+11
1.213199e+14,1.042220e+12
1.230199e+14,1.086375e+12
1.247202e+14,1.131676e+12
1.264212e+14,1.178130e+12
1.281229e+14,1.225759e+12
1.298251e+14,1.274564e+12
1.315281e+14,1.324555e+12
1.332316e+14,1.375745e+12
1.349357e+14,1.428136e+12
1.366407e+14,1.481740e+12
1.383463e+14,1.536574e+12
1.400525e+14,1.592654e+12
1.417595e+14,1.649968e+12
1.434669e+14,1.708534e+12
1.451754e+14,1.768371e+12
1.468842e+14,1.829485e+12
1.485939e+14,1.891879e+12
1.503043e+14,1.955559e+12
1.520154e+14,2.020548e+12
1.537274e+14,2.086853e+12
1.554400e+14,2.154465e+12
1.571533e+14,2.223426e+12
1.588677e+14,2.293728e+12
