energy_densityc2,pressurec2
2.469731e+11,4.737738e+08
2.527371e+11,4.870505e+08
2.586361e+11,5.007542e+08
2.646723e+11,5.147803e+08
2.708494e+11,5.292594e+08
2.771706e+11,5.440767e+08
2.836399e+11,5.593039e+08
2.902597e+11,5.749447e+08
2.970345e+11,5.910304e+08
3.039675e+11,6.075610e+08
3.110623e+11,6.244635e+08
3.183228e+11,6.418728e+08
3.257527e+11,6.597732e+08
3.333559e+11,6.781133e+08
3.411367e+11,6.969602e+08
3.490999e+11,7.163244e+08
3.572481e+11,7.362236e+08
3.655873e+11,7.565758e+08
3.741204e+11,7.775794e+08
3.828535e+11,7.990608e+08
3.917904e+11,8.212331e+08
4.009360e+11,8.328671e+08
4.102950e+11,8.436203e+08
4.198725e+11,8.536273e+08
4.296726e+11,8.635254e+08
4.397025e+11,8.727021e+08
4.499655e+11,8.825074e+08
4.604679e+11,8.919174e+08
4.712146e+11,9.009486e+08
4.822131e+11,9.103275e+08
4.934672e+11,9.200500e+08
5.049840e+11,9.300116e+08
5.167695e+11,9.392843e+08
5.288289e+11,9.495830e+08
5.411699e+11,9.600498e+08
5.537987e+11,9.700479e+08
5.667223e+11,9.810199e+08
5.799462e+11,9.914062e+08
5.934786e+11,1.002893e+09
6.073269e+11,1.013996e+09
6.214982e+11,1.025808e+09
6.360003e+11,1.038126e+09
6.508392e+11,1.049929e+09
6.660243e+11,1.062868e+09
6.815639e+11,1.076161e+09
6.974659e+11,1.088893e+09
7.137391e+11,1.102869e+09
7.303903e+11,1.117207e+09
7.474298e+11,1.131964e+09
7.648687e+11,1.147112e+09
7.827127e+11,1.162526e+09
8.009712e+11,1.178136e+09
8.196575e+11,1.194789e+09
8.387797e+11,1.211784e+09
8.583460e+11,1.229452e+09
8.783688e+11,1.247324e+09
8.988589e+11,1.265806e+09
9.198267e+11,1.284708e+09
9.412838e+11,1.304826e+09
9.632413e+11,1.325276e+09
9.857090e+11,1.346035e+09
1.008703e+12,1.368334e+09
1.032231e+12,1.390348e+09
1.056308e+12,1.413938e+09
1.080948e+12,1.438219e+09
1.106161e+12,1.462371e+09
1.131963e+12,1.488190e+09
1.158365e+12,1.514865e+09
1.185382e+12,1.542240e+09
1.213031e+12,1.570503e+09
1.241325e+12,1.599671e+09
1.270276e+12,1.629738e+09
1.299905e+12,1.660976e+09
1.330225e+12,1.693660e+09
1.361250e+12,1.726684e+09
1.392998e+12,1.761697e+09
1.425489e+12,1.796836e+09
1.458736e+12,1.834086e+09
1.492758e+12,1.872486e+09
1.527576e+12,1.911186e+09
1.563203e+12,1.952066e+09
1.599662e+12,1.994285e+09
1.636970e+12,2.037818e+09
1.675149e+12,2.082980e+09
1.714218e+12,2.130125e+09
1.754198e+12,2.178059e+09
1.795115e+12,2.228050e+09
1.836978e+12,2.279617e+09
1.879825e+12,2.333343e+09
1.923668e+12,2.387895e+09
1.968533e+12,2.445181e+09
2.014444e+12,2.504348e+09
2.061427e+12,2.565374e+09
2.109505e+12,2.628476e+09
2.158705e+12,2.694491e+09
2.209052e+12,2.761837e+09
2.260573e+12,2.831349e+09
2.313295e+12,2.904156e+09
2.367253e+12,2.979083e+09
2.422464e+12,3.055929e+09
2.478962e+12,3.136093e+09
2.536779e+12,3.218870e+09
2.595949e+12,3.304426e+09
2.656494e+12,3.393328e+09
2.718457e+12,3.485006e+09
2.781858e+12,3.579317e+09
2.846745e+12,3.677651e+09
2.913139e+12,3.779250e+09
2.981081e+12,3.883314e+09
3.050615e+12,3.991716e+09
3.121771e+12,4.103739e+09
3.194586e+12,4.220389e+09
3.269092e+12,4.339916e+09
3.345344e+12,4.463475e+09
3.423382e+12,4.592003e+09
3.503232e+12,4.724731e+09
3.584945e+12,4.861059e+09
3.668563e+12,5.002773e+09
3.754133e+12,5.149204e+09
3.841707e+12,5.301226e+09
3.931314e+12,5.457375e+09
4.023012e+12,5.619656e+09
4.116857e+12,5.786380e+09
4.212893e+12,5.959489e+09
4.311168e+12,6.138317e+09
4.411726e+12,6.323039e+09
4.514639e+12,6.513804e+09
4.619963e+12,6.711595e+09
4.727735e+12,6.915268e+09
4.838019e+12,7.126405e+09
4.950888e+12,7.343506e+09
5.066378e+12,7.568716e+09
5.184574e+12,7.801209e+09
5.305516e+12,8.042152e+09
5.429291e+12,8.290170e+09
5.555953e+12,8.546814e+09
5.685571e+12,8.811520e+09
5.818225e+12,9.085421e+09
5.953961e+12,9.368124e+09
6.092864e+12,9.660131e+09
6.235022e+12,9.961549e+09
6.380495e+12,1.027350e+10
6.529349e+12,1.059475e+10
6.681690e+12,1.092720e+10
6.837586e+12,1.127038e+10
6.869204e+12,1.134014e+10
6.900969e+12,1.141043e+10
6.932866e+12,1.148176e+10
6.964926e+12,1.155303e+10
6.997134e+12,1.162455e+10
7.029475e+12,1.169660e+10
